City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Sisimiut,GL,66.9395,-53.6735,43.29,84,83,8.81,broken clouds
279,La Peca,PE,-5.6111,-78.435,66.52,95,100,1.79,moderate rain
280,Longido,TZ,-2.7333,36.6833,63.36,62,100,15.14,overcast clouds
281,Olinda,BR,-8.0089,-34.8553,73.13,88,100,8.05,overcast clouds
282,Antofagasta,CL,-23.65,-70.4,60.08,72,20,8.52,few clouds
283,Iisalmi,FI,63.5592,27.1907,62.62,96,100,11.45,overcast clouds
284,Freeport,US,40.6576,-73.5832,83.5,53,0,11.5,clear sky
285,Kamenka,RU,51.3223,42.7678,65.41,85,7,4.88,light rain
286,Niquero,CU,20.0431,-77.5828,89.29,56,11,6.31,few clouds
287,Deer Lake,CA,49.1667,-57.4316,75.06,73,75,8.05,broken clouds
288,Mosquera,CO,4.7059,-74.2302,62.69,77,75,4.61,broken clouds
289,Hualmay,PE,-11.0964,-77.6139,66.45,71,100,12.35,overcast clouds
290,Kalety,PL,50.5627,18.8926,66.49,82,20,6.91,few clouds
291,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,73,52,11.59,broken clouds
292,Zholymbet,KZ,51.7433,71.7122,77.14,31,100,8.5,overcast clouds
293,Linares,CL,-35.85,-71.6,51.58,95,100,3.78,overcast clouds
294,Wadi Musa,JO,30.3222,35.4793,73.24,29,0,5.95,clear sky
295,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,86.02,70,46,3.31,moderate rain
296,Povorino,RU,51.1945,42.2457,64.22,81,92,1.77,light rain
297,Luanda,AO,-8.8368,13.2343,71.6,83,20,9.22,few clouds
298,Nadym,RU,65.5333,72.5167,50.7,79,88,8.48,overcast clouds
299,Sambava,MG,-14.2667,50.1667,69.76,82,17,11.3,few clouds
300,Hamadan,IR,34.7992,48.5146,81.48,26,0,4.61,clear sky
301,Araouane,ML,18.9048,-3.5265,105.28,8,17,11.48,few clouds
302,Manaure,CO,11.7751,-72.4445,90.52,50,31,16.46,scattered clouds
303,Kez,RU,57.8979,53.7152,59.02,71,0,7.96,clear sky
304,Metu,ET,8.3,35.5833,60.04,98,100,2.57,light rain
305,Kushalnagar,IN,12.458,75.959,68.04,94,100,3.02,overcast clouds
306,Bakreswar,IN,23.8833,87.3667,80.19,81,27,6.96,scattered clouds
307,Maragogi,BR,-9.0122,-35.2225,75.9,83,84,11.36,broken clouds
308,Iquique,CL,-20.2208,-70.1431,60.84,71,58,10.54,broken clouds
309,Lipnita,RO,44.1,27.6,83.52,52,0,12.88,clear sky
310,Carrickmacross,IE,53.9728,-6.7189,62.67,65,86,3.96,overcast clouds
311,Jalingo,NG,8.8833,11.3667,76.78,82,100,4.0,overcast clouds
312,Miandrivazo,MG,-19.5167,45.4667,69.57,73,0,3.06,clear sky
313,Kosh-Agach,RU,50.0,88.6667,47.66,67,0,4.88,clear sky
314,Zelenoborskiy,RU,66.845,32.3622,59.74,95,100,7.36,light rain
315,Sorland,NO,67.667,12.6934,53.15,92,100,30.02,light rain
