City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Novyy Rogachik,RU,2022-05-08 10:27:32,48.6768,44.0608,65.3,27,26,12.68
221,Pallisa,UG,2022-05-08 10:27:32,1.145,33.7094,84.43,51,44,2.26
222,Berlevag,NO,2022-05-08 10:27:33,70.8578,29.0864,31.8,77,100,17.81
223,Dakar,SN,2022-05-08 10:24:28,14.6937,-17.4441,79.68,83,0,9.22
224,Machinga,MW,2022-05-08 10:27:34,-15.1685,35.3,82.9,44,34,1.54
225,Chazuta,PE,2022-05-08 10:27:34,-6.5742,-76.1367,70.39,98,82,1.72
226,Eskil,TR,2022-05-08 10:27:35,38.4017,33.4131,56.48,51,81,5.84
227,At-Bashi,KG,2022-05-08 10:27:36,41.1702,75.8106,69.94,21,0,2.82
228,Cheremnoye,RU,2022-05-08 10:27:36,53.1697,83.2133,52.39,24,5,10.13
229,Avallon,FR,2022-05-08 10:27:37,47.4833,3.9,64.99,69,10,8.88
230,Cumra,TR,2022-05-08 10:27:38,37.5732,32.7745,59.14,41,56,7.14
231,Fuerte Olimpo,PY,2022-05-08 10:27:24,-21.0415,-57.8738,60.53,77,3,3.89
232,Carnarvon,AU,2022-05-08 10:27:38,-24.8667,113.6333,73.47,78,43,6.91
233,Ajdabiya,LY,2022-05-08 10:27:39,30.7554,20.2263,79.7,29,0,16.58
234,Saint-Pierre,RE,2022-05-08 10:27:40,-21.3393,55.4781,80.28,69,75,6.91
235,Requena,ES,2022-05-08 10:23:23,39.4883,-1.1004,65.52,36,46,2.91
236,Marawi,PH,2022-05-08 10:27:41,7.9986,124.2928,72.32,96,100,3.13
237,Bosaso,SO,2022-05-08 10:27:41,11.2842,49.1816,89.58,66,0,11.5
238,Ugoofaaru,MV,2022-05-08 10:27:42,5.6667,73.0,85.19,70,68,16.62
239,Huancavelica,PE,2022-05-08 10:27:42,-12.7667,-74.9833,32.97,91,94,1.74
240,Marquette,US,2022-05-08 10:27:43,46.5333,-87.6335,41.77,56,85,8.41
241,Kargasok,RU,2022-05-08 10:27:44,59.0556,80.8572,43.68,35,13,9.64
242,Muravlenko,RU,2022-05-08 10:27:44,63.7898,74.523,33.67,100,94,11.5
243,Buribay,RU,2022-05-08 10:27:45,51.9617,58.1592,60.35,20,45,15.99
244,Nikolsk,RU,2022-05-08 10:27:46,53.7189,46.0712,58.53,38,85,5.55
245,Ndele,CF,2022-05-08 10:27:46,8.4109,20.6473,99.3,27,33,2.37
246,Itaituba,BR,2022-05-08 10:27:47,-4.2761,-55.9836,71.62,100,96,1.23
247,Walvis Bay,NA,2022-05-08 10:27:48,-22.9575,14.5053,66.58,45,0,4.14
248,Viedma,AR,2022-05-08 10:27:48,-40.8135,-62.9967,61.3,47,2,17.58
249,Jumilla,ES,2022-05-08 10:27:50,38.4792,-1.325,72.95,45,15,3.6
250,Piracuruca,BR,2022-05-08 10:27:50,-3.9281,-41.7092,74.82,93,98,2.15
251,Douentza,ML,2022-05-08 10:27:51,14.9951,-2.9517,103.23,8,8,15.64
252,Lagunas,PE,2022-05-08 10:27:51,-5.2269,-75.6753,70.56,99,99,1.86
253,Ati,TD,2022-05-08 10:27:52,13.2154,18.3353,104.07,16,74,3.2
254,Booue,GA,2022-05-08 10:27:53,-0.0921,11.9385,87.8,62,94,1.25
255,Pelym,RU,2022-05-08 10:27:53,61.0108,61.9978,64.02,34,81,11.16
256,Palpa,PE,2022-05-08 10:27:54,-14.5336,-75.1856,64.26,88,55,1.39
257,Santa Cruz,BO,2022-05-08 10:25:15,-17.8,-63.1667,68.05,73,40,3.44
258,Nunoa,PE,2022-05-08 10:27:55,-14.48,-70.6411,34.61,84,79,5.7
259,Soto,AR,2022-05-08 10:27:56,-32.8107,-61.4026,55.04,94,95,7.87
260,Port Blair,IN,2022-05-08 10:27:56,11.6667,92.75,86.04,79,75,13.8
261,Kaduqli,SD,2022-05-08 10:27:57,11.0167,29.7167,102.22,8,46,4.65
262,Ilinskoye-Khovanskoye,RU,2022-05-08 10:27:57,56.9718,39.7684,58.37,65,98,17.81
263,Kruisfontein,ZA,2022-05-08 10:27:58,-34.0033,24.7314,64.89,46,51,6.46
264,Opuwo,NA,2022-05-08 10:27:59,-18.0607,13.84,81.28,22,0,4.59
265,Bandarbeyla,SO,2022-05-08 10:27:59,9.4942,50.8122,88.48,64,9,18.77
266,Antalaha,MG,2022-05-08 10:29:00,-14.9003,50.2788,80.89,80,17,6.24
267,Coquimbo,CL,2022-05-08 10:26:20,-29.9533,-71.3436,55.13,100,100,3.44
268,Shihezi,CN,2022-05-08 10:29:01,44.3,86.0333,85.17,20,3,9.84
269,Zabol,AF,2022-05-08 10:29:02,32.25,67.25,88.05,9,0,17.9
270,Ziarat,PK,2022-05-08 10:29:02,30.3823,67.7282,80.89,9,1,9.91
271,Havoysund,NO,2022-05-08 10:29:03,70.9963,24.6622,32.23,69,100,20.51
272,Praia Da Vitoria,PT,2022-05-08 10:29:04,38.7333,-27.0667,63.75,77,20,4.09
273,Montgomery,US,2022-05-08 10:29:04,39.1501,-77.1997,43.66,93,100,8.05
274,Mansoa,GW,2022-05-08 10:29:05,12.0733,-15.3189,86.18,44,8,6.87
275,Marion,US,2022-05-08 10:29:05,39.7684,-86.1555,48.4,80,0,8.05
276,Kutum,SD,2022-05-08 10:29:06,14.2,24.6667,91.49,6,100,10.2
277,Olbia,IT,2022-05-08 10:29:07,40.9214,9.4856,68.05,56,20,9.22
278,Grand Gaube,MU,2022-05-08 10:29:07,-20.0064,57.6608,83.37,63,13,8.01
279,Manono,CD,2022-05-08 10:29:08,-7.3,27.4167,88.77,44,89,6.02
280,Yurginskoye,RU,2022-05-08 10:29:09,56.8189,67.3921,64.89,28,73,9.28
281,Tete,MZ,2022-05-08 10:29:09,-16.1564,33.5867,89.69,40,0,5.75
282,Zhezkazgan,KZ,2022-05-08 10:29:10,47.8043,67.7144,57.18,41,40,24.61
283,Zhob,PK,2022-05-08 10:29:11,31.3411,69.4481,97.48,6,1,14.94
284,Winsum,NL,2022-05-08 10:29:11,53.33,6.5208,58.98,65,11,10.69
285,Soyo,AO,2022-05-08 10:29:12,-6.1349,12.3689,83.39,72,11,5.66
286,Krasnoselkup,RU,2022-05-08 10:29:12,65.7,82.4667,25.77,72,6,9.04
287,Riyadh,SA,2022-05-08 10:29:13,24.6877,46.7219,91.54,10,4,7.85
288,Marathon,US,2022-05-08 10:24:29,44.9,-89.7668,47.73,47,0,8.05
289,Abu Dhabi,AE,2022-05-08 10:29:14,24.4667,54.3667,105.91,13,0,5.75
290,Cidreira,BR,2022-05-08 10:29:15,-30.1811,-50.2056,60.57,84,0,9.89
